,wind_code,i_weight
1,002001.SZ,0.6461
2,002004.SZ,0.7081
3,002007.SZ,1.4036
4,002008.SZ,1.9243
5,002010.SZ,0.3495
6,002013.SZ,0.6597
7,002018.SZ,0.4702
8,002022.SZ,0.5379
9,002023.SZ,0.4538
10,002024.SZ,2.9172
11,002027.SZ,0.8503
12,002030.SZ,0.7234
13,002038.SZ,0.7799
14,002049.SZ,0.8454
15,002051.SZ,0.7254
16,002065.SZ,1.4251
17,002074.SZ,0.9033
18,002075.SZ,1.4897
19,002081.SZ,0.9863
20,002085.SZ,1.1096
21,002092.SZ,0.853
22,002095.SZ,0.275
23,002104.SZ,0.4688
24,002108.SZ,0.68
25,002129.SZ,1.0663
26,002142.SZ,2.3348
27,002146.SZ,0.8988
28,002152.SZ,0.6014
29,002153.SZ,0.4976
30,002161.SZ,0.3146
31,002168.SZ,0.9654
32,002176.SZ,0.6316
33,002179.SZ,0.7786
34,002183.SZ,0.8724
35,002185.SZ,0.754
36,002190.SZ,0.3291
37,002191.SZ,0.6028
38,002195.SZ,0.684
39,002202.SZ,1.799
40,002223.SZ,0.7635
41,002224.SZ,0.3405
42,002230.SZ,2.0378
43,002236.SZ,1.9829
44,002241.SZ,2.1391
45,002252.SZ,1.2987
46,002261.SZ,0.4861
47,002266.SZ,0.5251
48,002273.SZ,0.7642
49,002276.SZ,0.4267
50,002280.SZ,0.5537
51,002284.SZ,0.3167
52,002285.SZ,0.4696
53,002292.SZ,0.5515
54,002294.SZ,0.7642
55,002299.SZ,0.4079
56,002304.SZ,3.4431
57,002310.SZ,1.3073
58,002311.SZ,0.808
59,002340.SZ,1.0632
60,002353.SZ,0.5947
61,002368.SZ,0.5308
62,002375.SZ,0.4465
63,002385.SZ,0.9662
64,002399.SZ,0.5174
65,002400.SZ,0.7194
66,002405.SZ,1.024
67,002407.SZ,0.781
68,002410.SZ,0.7912
69,002415.SZ,5.6143
70,002422.SZ,0.751
71,002424.SZ,0.5353
72,002426.SZ,1.0219
73,002428.SZ,0.3575
74,002437.SZ,0.3903
75,002439.SZ,0.6968
76,002450.SZ,3.441
77,002456.SZ,2.1486
78,002460.SZ,1.514
79,002465.SZ,1.2311
80,002466.SZ,2.0383
81,002470.SZ,0.7334
82,002475.SZ,1.7921
83,002489.SZ,0.483
84,002491.SZ,0.6392
85,002500.SZ,0.8547
86,002508.SZ,1.3964
87,002555.SZ,0.5768
88,002570.SZ,0.5408
89,002573.SZ,0.8305
90,002594.SZ,1.9747
91,002610.SZ,0.3348
92,002624.SZ,0.5375
93,002657.SZ,0.3717
94,002673.SZ,1.881
95,002701.SZ,0.6225
96,002709.SZ,0.4209
97,002716.SZ,0.3458
98,002736.SZ,1.7437
99,002739.SZ,1.7831
100,002797.SZ,0.2597
