,wind_code,i_weight
1,300001.SZ,0.4798
2,300002.SZ,0.4089
3,300003.SZ,0.9664
4,300004.SZ,0.1651
5,300005.SZ,0.1417
6,300006.SZ,0.1255
7,300007.SZ,0.1396
8,300008.SZ,0.141
9,300009.SZ,0.2424
10,300010.SZ,0.2038
11,300011.SZ,0.2194
12,300012.SZ,0.2408
13,300013.SZ,0.1134
14,300014.SZ,0.4439
15,300015.SZ,0.9209
16,300016.SZ,0.1306
17,300017.SZ,0.6177
18,300018.SZ,0.099
19,300019.SZ,0.0495
20,300020.SZ,0.3023
21,300021.SZ,0.1749
22,300022.SZ,0.075
23,300023.SZ,0.0681
24,300024.SZ,0.9804
25,300025.SZ,0.1231
26,300026.SZ,0.3399
27,300027.SZ,0.5328
28,300028.SZ,0.0933
29,300029.SZ,0.0629
30,300030.SZ,0.1018
31,300031.SZ,0.1501
32,300032.SZ,0.2875
33,300033.SZ,0.581
34,300034.SZ,0.2243
35,300035.SZ,0.0856
36,300036.SZ,0.1748
37,300037.SZ,0.1527
38,300038.SZ,0.1907
39,300039.SZ,0.1999
40,300040.SZ,0.0771
41,300041.SZ,0.1177
42,300042.SZ,0.1366
43,300043.SZ,0.2239
44,300044.SZ,0.1683
45,300045.SZ,0.1251
46,300046.SZ,0.0909
47,300047.SZ,0.1136
48,300048.SZ,0.1763
49,300049.SZ,0.131
50,300050.SZ,0.1175
51,300051.SZ,0.1192
52,300052.SZ,0.1531
53,300053.SZ,0.2217
54,300054.SZ,0.222
55,300055.SZ,0.5354
56,300056.SZ,0.0999
57,300057.SZ,0.1513
58,300058.SZ,0.4307
59,300059.SZ,1.3053
60,300061.SZ,0.0878
61,300062.SZ,0.0783
62,300063.SZ,0.1167
63,300064.SZ,0.202
64,300065.SZ,0.2444
65,300066.SZ,0.1885
66,300067.SZ,0.0901
67,300068.SZ,0.3334
68,300069.SZ,0.1054
69,300070.SZ,1.204
70,300071.SZ,0.1067
71,300072.SZ,1.5926
72,300073.SZ,0.1979
73,300074.SZ,0.1021
74,300075.SZ,0.2177
75,300076.SZ,0.0978
76,300077.SZ,0.2535
77,300078.SZ,0.1808
78,300079.SZ,0.2426
79,300080.SZ,0.1289
80,300081.SZ,0.1053
81,300082.SZ,0.1781
82,300083.SZ,0.3049
83,300084.SZ,0.0827
84,300085.SZ,0.212
85,300086.SZ,0.156
86,300087.SZ,0.1308
87,300088.SZ,0.6004
88,300089.SZ,0.1356
89,300090.SZ,0.2867
90,300091.SZ,0.1639
91,300092.SZ,0.0722
92,300093.SZ,0.1242
93,300094.SZ,0.1784
94,300095.SZ,0.0977
95,300096.SZ,0.1841
96,300097.SZ,0.1384
97,300098.SZ,0.2463
98,300099.SZ,0.1047
99,300100.SZ,0.2444
100,300101.SZ,0.2448
101,300102.SZ,0.1703
102,300103.SZ,0.0904
103,300104.SZ,1.3531
104,300105.SZ,0.1127
105,300106.SZ,0.0774
106,300107.SZ,0.1088
107,300108.SZ,0.0894
108,300109.SZ,0.1325
109,300110.SZ,0.2817
110,300111.SZ,0.1474
111,300112.SZ,0.0657
112,300113.SZ,0.4223
113,300114.SZ,0.2086
114,300115.SZ,0.8697
115,300116.SZ,0.2242
116,300117.SZ,0.2332
117,300118.SZ,0.2268
118,300119.SZ,0.1011
119,300120.SZ,0.0726
120,300121.SZ,0.1165
121,300122.SZ,0.5615
122,300123.SZ,0.1142
123,300124.SZ,1.0175
124,300125.SZ,0.0808
125,300126.SZ,0.06
126,300127.SZ,0.1228
127,300128.SZ,0.1689
128,300129.SZ,0.1178
129,300130.SZ,0.0991
130,300131.SZ,0.1788
131,300132.SZ,0.0835
132,300133.SZ,0.4525
133,300134.SZ,0.578
134,300135.SZ,0.1368
135,300136.SZ,0.8912
136,300137.SZ,0.282
137,300138.SZ,0.1195
138,300139.SZ,0.0759
139,300140.SZ,0.1849
140,300141.SZ,0.0653
141,300142.SZ,0.5043
142,300143.SZ,0.1315
143,300144.SZ,0.8473
144,300145.SZ,0.4127
145,300146.SZ,0.3605
146,300147.SZ,0.2301
147,300148.SZ,0.3509
148,300149.SZ,0.2726
149,300150.SZ,0.1245
150,300151.SZ,0.1152
151,300152.SZ,0.1953
152,300153.SZ,0.1339
153,300154.SZ,0.0906
154,300155.SZ,0.0766
155,300156.SZ,0.7481
156,300157.SZ,0.2408
157,300158.SZ,0.1573
158,300159.SZ,0.4981
159,300160.SZ,0.1831
160,300161.SZ,0.1011
161,300162.SZ,0.0776
162,300163.SZ,0.0877
163,300164.SZ,0.077
164,300165.SZ,0.0851
165,300166.SZ,0.3336
166,300167.SZ,0.1251
167,300168.SZ,0.5535
168,300169.SZ,0.0626
169,300170.SZ,0.2358
170,300171.SZ,0.1326
171,300172.SZ,0.1265
172,300173.SZ,0.1356
173,300174.SZ,0.2213
174,300175.SZ,0.1231
175,300176.SZ,0.2441
176,300177.SZ,0.1204
177,300178.SZ,0.2325
178,300179.SZ,0.0726
179,300180.SZ,0.3489
180,300181.SZ,0.0843
181,300182.SZ,0.4721
182,300183.SZ,0.2047
183,300184.SZ,0.1157
184,300185.SZ,0.2571
185,300187.SZ,0.2293
186,300188.SZ,0.1786
187,300189.SZ,0.1144
188,300190.SZ,0.1728
189,300191.SZ,0.1891
190,300192.SZ,0.0926
191,300193.SZ,0.1032
192,300194.SZ,0.1235
193,300195.SZ,0.1029
194,300196.SZ,0.1288
195,300197.SZ,0.4069
196,300198.SZ,0.1561
197,300199.SZ,0.29
198,300200.SZ,0.0983
199,300201.SZ,0.258
200,300202.SZ,0.2405
201,300203.SZ,0.4379
202,300204.SZ,0.2401
203,300205.SZ,0.1525
204,300206.SZ,0.104
205,300207.SZ,0.4649
206,300208.SZ,0.3275
207,300209.SZ,0.2036
