,TOTAL_SHARES,FREE_FLOAT_SHARES,EPS_TTM,BPS,WEST_EPS_2017,WEST_EPS_2018,WEST_EPS_2019
300098.SZ,1106587571.0,438710131.0,0.291558281491,3.5605,0.374700009823,0.488000005484,0.608500003815
300099.SZ,660399255.0,260867990.0,0.0625808129659,2.5187,0.129099994898,0.164299994707,0.190799996257
300100.SZ,397951246.0,105898993.0,0.849485378769,6.5872,1.30120003223,1.61220002174,1.70599997044
300101.SZ,556000000.0,346975180.0,0.0545801023921,1.5235,0.123999997973,0.202800005674,0.206100001931
300102.SZ,704553311.0,608887006.0,0.126910834445,3.6078,0.216199994087,0.260199993849,0.315400004387
300103.SZ,211734000.0,83687485.0,0.116179777268,4.0628,0.285699993372,0.398299992085,0.633199989796
300104.SZ,1994720096.0,1057780319.0,0.283153497437,6.8273,0.513800024986,0.81559997797,1.21510004997
300105.SZ,513216000.0,297665280.0,-0.280934404987,3.7187,,,
300106.SZ,211332310.0,120920625.0,-0.268798927339,4.581,0.201800003648,0.352899998426,0.738200008869
300107.SZ,544338522.0,253337865.0,0.0422921426825,1.6806,,,
300108.SZ,636014674.0,263491963.0,0.296638845113,2.8641,,,
300109.SZ,170482422.0,64738004.0,0.490847421619,7.3319,0.879299998283,1.16499996185,
300110.SZ,986105137.0,477256759.0,0.026070530672,2.2343,0.0593000017107,0.0548000000417,
300111.SZ,1119800000.0,917630984.0,-0.015695871486,1.1373,,,
300112.SZ,266588197.0,112608958.0,0.108977093948,2.7213,,,
300113.SZ,693012638.0,388790143.0,0.808327159583,3.7771,0.987399995327,1.2431999445,1.53680002689
300114.SZ,590760499.0,147935712.0,0.181964530926,3.4435,0.2268999964,0.27689999342,0.349799990654
300115.SZ,903053817.0,491983072.0,0.826992458457,4.587,1.10889995098,1.55700004101,2.28509998322
300116.SZ,2432524564.0,517986210.0,0.278846190965,6.6499,0.451499998569,0.600300014019,0.788399994373
300117.SZ,716760000.0,320176379.0,0.106836102336,1.9906,0.210199996829,0.303499996662,
300118.SZ,904616941.0,413300813.0,0.456649861049,7.8059,0.868399977684,1.06239998341,1.21399998665
300119.SZ,404493463.0,151182796.0,0.347296792235,4.7837,0.452600002289,0.614600002766,0.803499996662
300120.SZ,204545976.0,140889433.0,0.100142676187,2.9752,0.430200010538,0.541400015354,0.648999989033
300121.SZ,289220000.0,116465902.0,0.60425174573,2.386,0.765600025654,0.958800017834,1.12139999866
300122.SZ,1600000000.0,361516015.0,0.0210245847875,1.6135,0.252000004053,0.40909999609,0.575900018215
300123.SZ,301725410.0,146585518.0,0.0815227387047,3.8032,0.186299994588,0.239199995995,0.291700005531
300124.SZ,1665111931.0,929347661.0,0.579361721245,2.9636,0.70609998703,0.876200020313,1.10020005703
300125.SZ,118000000.0,85316633.0,-0.527639187288,8.6529,,,
300126.SZ,306338400.0,143254947.0,0.0227094789945,3.4051,,,
300127.SZ,323146360.0,86467196.0,0.389083044878,3.5012,0.451200008392,0.550800025463,0.713800013065
300128.SZ,841627240.0,473301157.0,0.0647340498152,4.111,0.121799997985,0.187700003386,0.316100001335
300129.SZ,727087180.0,448520186.0,0.308963223007,2.9946,0.37270000577,0.438100010157,0.508800029755
300130.SZ,239477540.0,111173179.0,0.582804605559,6.2339,0.672599971294,0.817200005054,1.11570000648
300131.SZ,1069526426.0,556833476.0,0.154716307711,1.7816,0.258599996567,0.310099989176,0.371100008488
300132.SZ,385920000.0,225887876.0,0.10415821336,1.6738,,,
300133.SZ,1746625521.0,637579491.0,0.289460087764,3.7001,0.387300014496,0.480800002813,0.53820002079
300134.SZ,767498006.0,352197524.0,0.10250002187,7.5753,0.248699992895,0.306199997663,0.383399993181
300135.SZ,921600000.0,599504696.0,0.0319040461806,1.2892,,,
300136.SZ,982834638.0,698192909.0,0.674343207723,2.1681,0.964600026608,1.42680001259,1.92949998379
300137.SZ,344395344.0,283769450.0,0.315388248745,4.2472,0.429399996996,0.559499979019,0.689499974251
300138.SZ,262110302.0,174963464.0,0.424107447062,5.8791,0.586499989033,0.821500003338,1.08140003681
300139.SZ,274000000.0,192473548.0,0.105990947409,4.8005,,,
300140.SZ,345154706.0,137780160.0,0.234347667738,3.5811,0.0434999987483,0.054999999702,
300141.SZ,250449600.0,102109721.0,0.132776728412,4.2499,0.304600000381,0.406100004911,0.524399995804
300142.SZ,1537436984.0,856033668.0,0.0541248594616,2.062,0.0859000012279,0.141800001264,
300143.SZ,288387118.0,34017622.0,0.339928254736,8.0693,0.306300014257,0.425500005484,
300144.SZ,1452607800.0,650313835.0,0.656268627189,4.5885,0.798200011253,0.980199992657,1.17620003223
300145.SZ,1202148734.0,636063774.0,0.469001193134,6.2338,0.600600004196,0.784500002861,0.99169999361
300146.SZ,1470321880.0,689437218.0,0.403698167254,3.1145,0.448399990797,0.522800028324,0.586099982262
300147.SZ,661476335.0,415750244.0,0.0862130143628,5.1683,0.154899999499,0.29960000515,0.397599995136
300148.SZ,649949574.0,326148625.0,0.449197010521,6.7706,0.626200020313,0.731000006199,0.849500000477
300149.SZ,422100000.0,234846105.0,0.147716415897,1.8562,,,
300150.SZ,540000000.0,301132167.0,0.125888734463,2.8259,0.279000014067,0.370400011539,0.522199988365
300151.SZ,502500000.0,212903130.0,0.0573599289552,1.6302,,,
300152.SZ,712800000.0,502800000.0,-0.125776572755,1.9458,0.287099987268,0.458299994469,0.409500002861
300153.SZ,320000000.0,149412175.0,0.151925616906,3.061,0.216800004244,0.30529999733,0.447200000286
300154.SZ,447000000.0,145925000.0,0.180981006063,3.5305,0.206200003624,0.226600006223,0.245199993253
300155.SZ,543370602.0,180500393.0,0.0307270110649,2.0702,0.0729999989271,0.0962999984622,
300156.SZ,1010024415.0,517841357.0,0.701993451772,2.5964,1.29019999504,1.89619994164,2.51990008354
300157.SZ,712772080.0,587062109.0,0.126487983059,5.2597,0.288100004196,0.380199998617,0.621399998665
300158.SZ,519779330.0,118451413.0,0.467918898853,10.2035,0.733200013638,0.889900028706,1.09619998932
300159.SZ,1490360202.0,685155260.0,0.167818601748,3.9025,0.353500008583,0.493499994278,0.633800029755
300160.SZ,597760000.0,300918972.0,0.24400456434,2.158,0.317799985409,0.405900001526,0.493099987507
300161.SZ,172791187.0,128122447.0,0.150376135271,6.4104,0.406199991703,0.538999974728,0.641600012779
300162.SZ,349787153.0,143443804.0,0.0839631925533,3.225,0.218600004911,0.321099996567,0.444400012493
300163.SZ,474000000.0,282175771.0,0.134161861983,1.5643,,,
300164.SZ,440432159.0,278440876.0,0.0572172885541,3.3562,0.193100005388,0.278100013733,0.375299990177
300165.SZ,461760000.0,241257063.0,0.127337061699,3.3416,0.22840000689,0.296000003815,0.411300003529
300166.SZ,656249136.0,452661077.0,0.523319760043,6.0913,0.693700015545,0.928499996662,1.2092000246
300167.SZ,300240000.0,180125000.0,0.131191719824,2.4114,0.0732999965549,0.133200004697,
300168.SZ,1031082642.0,664826225.0,0.230542927528,2.2136,0.313600003719,0.401199996471,0.623600006104
300169.SZ,325984340.0,163884385.0,0.0615048633318,3.8438,0.117499999702,0.122699998319,0.139899998903
300170.SZ,857887869.0,595600787.0,0.287723161615,2.4646,0.345999985933,0.454600006342,0.662599980831
300171.SZ,634136444.0,235787567.0,0.315757859897,4.6955,0.835799992085,1.01400005817,
300172.SZ,507000000.0,290793579.0,0.216269680572,2.2099,0.24169999361,0.275700002909,0.308899998665
300173.SZ,586180503.0,164140563.0,0.111618010673,2.805,0.261999994516,0.348500013351,0.420899987221
300174.SZ,244800000.0,194775835.0,0.192360210825,4.1483,,,
300175.SZ,470800000.0,262662240.0,0.171163606542,1.7039,,,
300176.SZ,107280000.0,75615543.0,0.473599042878,6.0685,0.876200020313,1.06260001659,
300177.SZ,446763611.0,275833833.0,0.0640488041449,3.5655,0.107799999416,0.145300000906,0.185299992561
300178.SZ,556274040.0,280568278.0,0.333166252033,2.9637,0.401699990034,0.501200020313,0.56819999218
300179.SZ,477407350.0,249740255.0,0.0782639318184,1.5867,0.143600001931,0.178399994969,0.212999999523
300180.SZ,475000000.0,293160563.0,0.235305131979,5.5972,0.547699987888,0.784200012684,0.892300009727
300181.SZ,608624848.0,353530559.0,0.097304448191,2.1887,0.158800005913,0.193299993873,0.184000000358
300182.SZ,2561037309.0,1221472875.0,0.379117547397,3.5509,0.512399971485,0.67199999094,0.859700024128
300183.SZ,453264857.0,198700275.0,0.763192828956,5.6797,0.959399998188,1.20319998264,1.39629995823
300184.SZ,658197404.0,219943199.0,0.121939108377,5.9855,0.542100012302,0.702499985695,0.865400016308
300185.SZ,3267743928.0,2239337667.0,0.052253110278,1.5331,0.0658000037074,0.0817999988794,0.0901999995112
300187.SZ,648542285.0,193218198.0,0.232017907514,2.308,0.312700003386,0.407900005579,0.580399990082
300188.SZ,496340506.0,220800323.0,0.372605708368,3.7767,0.521899998188,0.679099977016,0.861500024796
300189.SZ,1024000000.0,823603229.0,0.0255646820605,1.4067,0.0309999994934,0.0763000026345,
300190.SZ,408120888.0,210107278.0,0.259685459177,6.9045,0.549799978733,0.738300025463,0.930000007153
300191.SZ,320000000.0,102530000.0,-0.00846417359375,3.6492,,,
300192.SZ,242550000.0,132837500.0,0.147301380045,2.9377,0.197600007057,0.237700000405,0.303999990225
300193.SZ,507686090.0,316953346.0,0.209435066795,4.2263,0.238100007176,0.279300004244,0.326200008392
300194.SZ,1189712382.0,340813076.0,0.236589774435,10.2229,0.271400004625,0.311199992895,0.349500000477
300195.SZ,433483630.0,141068330.0,0.329547208645,9.1471,0.512799978256,0.586000025272,
300196.SZ,212248038.0,89907127.0,1.26815588938,10.9774,1.52190005779,1.85490000248,2.24640011787
