,wind_code,i_weight
1,002001.SZ,0.3063
2,002002.SZ,0.2475
3,002003.SZ,0.0799
4,002004.SZ,0.2127
5,002005.SZ,0.0841
6,002006.SZ,0.0581
7,002007.SZ,0.4576
8,002008.SZ,0.498
9,002009.SZ,0.0494
10,002010.SZ,0.1073
11,002011.SZ,0.1735
12,002012.SZ,0.0886
13,002013.SZ,0.3482
14,002014.SZ,0.046
15,002015.SZ,0.0509
16,002016.SZ,0.095
17,002017.SZ,0.0582
18,002018.SZ,0.2434
19,002019.SZ,0.1343
20,002020.SZ,0.0836
21,002021.SZ,0.0665
22,002022.SZ,0.1092
23,002023.SZ,0.1057
24,002024.SZ,0.8529
25,002025.SZ,0.1739
26,002026.SZ,0.0566
27,002027.SZ,0.8592
28,002028.SZ,0.1567
29,002029.SZ,0.1201
30,002030.SZ,0.2192
31,002031.SZ,0.0926
32,002032.SZ,0.3178
33,002033.SZ,0.0866
34,002034.SZ,0.0465
35,002035.SZ,0.1758
36,002036.SZ,0.1
37,002037.SZ,0.0668
38,002038.SZ,0.2335
39,002039.SZ,0.0702
40,002040.SZ,0.072
41,002041.SZ,0.1731
42,002042.SZ,0.1329
43,002043.SZ,0.1622
44,002044.SZ,0.2469
45,002045.SZ,0.107
46,002046.SZ,0.0541
47,002047.SZ,0.1431
48,002048.SZ,0.1466
49,002049.SZ,0.2995
50,002050.SZ,0.3309
51,002051.SZ,0.3614
52,002052.SZ,0.06
53,002053.SZ,0.0734
54,002054.SZ,0.0811
55,002055.SZ,0.119
56,002056.SZ,0.1803
57,002057.SZ,0.0379
58,002058.SZ,0.0533
59,002059.SZ,0.1112
60,002060.SZ,0.0822
61,002061.SZ,0.0543
62,002062.SZ,0.0864
63,002063.SZ,0.0876
64,002064.SZ,0.1181
65,002065.SZ,0.4626
66,002066.SZ,0.0512
67,002067.SZ,0.0867
68,002068.SZ,0.0728
69,002069.SZ,0.0983
70,002070.SZ,0.0927
71,002071.SZ,0.0833
72,002072.SZ,0.0707
73,002073.SZ,0.0829
74,002074.SZ,0.2101
75,002075.SZ,0.5724
76,002076.SZ,0.048
77,002077.SZ,0.0594
78,002078.SZ,0.2705
79,002079.SZ,0.0827
80,002080.SZ,0.1079
81,002081.SZ,0.4139
82,002082.SZ,0.0709
83,002083.SZ,0.1036
84,002084.SZ,0.0581
85,002085.SZ,0.5347
86,002086.SZ,0.0855
87,002087.SZ,0.0618
88,002088.SZ,0.0353
89,002089.SZ,0.0934
