,wind_code,i_weight
1,000001.SZ,
2,000002.SZ,
3,000004.SZ,
4,000005.SZ,
5,000006.SZ,
6,000007.SZ,
7,000008.SZ,
8,000009.SZ,
9,000010.SZ,
10,000011.SZ,
11,000012.SZ,
12,000014.SZ,
13,000016.SZ,
14,000017.SZ,
15,000018.SZ,
16,000019.SZ,
17,000020.SZ,
18,000021.SZ,
19,000022.SZ,
20,000023.SZ,
21,000025.SZ,
22,000026.SZ,
23,000027.SZ,
24,000028.SZ,
25,000029.SZ,
26,000030.SZ,
27,000031.SZ,
28,000032.SZ,
29,000034.SZ,
30,000035.SZ,
31,000036.SZ,
32,000037.SZ,
33,000038.SZ,
34,000039.SZ,
35,000040.SZ,
36,000042.SZ,
37,000043.SZ,
38,000045.SZ,
39,000046.SZ,
40,000048.SZ,
41,000049.SZ,
42,000050.SZ,
43,000055.SZ,
44,000056.SZ,
45,000058.SZ,
46,000059.SZ,
47,000060.SZ,
48,000061.SZ,
49,000062.SZ,
50,000063.SZ,
51,000065.SZ,
52,000066.SZ,
53,000068.SZ,
54,000069.SZ,
55,000070.SZ,
56,000078.SZ,
57,000088.SZ,
58,000089.SZ,
59,000090.SZ,
60,000096.SZ,
61,000099.SZ,
62,000100.SZ,
63,000150.SZ,
64,000151.SZ,
65,000153.SZ,
66,000156.SZ,
67,000157.SZ,
68,000158.SZ,
69,000159.SZ,
70,000166.SZ,
71,000301.SZ,
72,000333.SZ,
73,000338.SZ,
74,000400.SZ,
75,000401.SZ,
76,000402.SZ,
77,000403.SZ,
78,000404.SZ,
79,000407.SZ,
80,000408.SZ,
81,000409.SZ,
82,000410.SZ,
83,000411.SZ,
84,000413.SZ,
85,000415.SZ,
86,000416.SZ,
87,000417.SZ,
88,000418.SZ,
89,000419.SZ,
90,000420.SZ,
91,000421.SZ,
92,000422.SZ,
93,000423.SZ,
94,000425.SZ,
95,000426.SZ,
96,000428.SZ,
97,000429.SZ,
98,000430.SZ,
99,000488.SZ,
100,000498.SZ,
101,000501.SZ,
102,000502.SZ,
103,000503.SZ,
104,000504.SZ,
105,000505.SZ,
106,000506.SZ,
107,000507.SZ,
108,000509.SZ,
109,000510.SZ,
110,000511.SZ,
111,000513.SZ,
112,000514.SZ,
113,000516.SZ,
114,000517.SZ,
115,000518.SZ,
116,000519.SZ,
117,000520.SZ,
118,000521.SZ,
119,000523.SZ,
120,000524.SZ,
121,000525.SZ,
122,000526.SZ,
123,000528.SZ,
124,000529.SZ,
125,000530.SZ,
126,000531.SZ,
127,000532.SZ,
128,000533.SZ,
129,000534.SZ,
130,000536.SZ,
131,000537.SZ,
132,000538.SZ,
133,000539.SZ,
134,000540.SZ,
135,000541.SZ,
136,000543.SZ,
137,000544.SZ,
138,000545.SZ,
139,000546.SZ,
140,000547.SZ,
141,000548.SZ,
142,000550.SZ,
143,000551.SZ,
144,000552.SZ,
145,000553.SZ,
146,000554.SZ,
147,000555.SZ,
148,000557.SZ,
149,000558.SZ,
150,000559.SZ,
151,000560.SZ,
152,000561.SZ,
153,000563.SZ,
154,000564.SZ,
155,000565.SZ,
156,000566.SZ,
157,000567.SZ,
158,000568.SZ,
159,000570.SZ,
160,000571.SZ,
161,000572.SZ,
162,000573.SZ,
163,000576.SZ,
164,000581.SZ,
165,000582.SZ,
166,000584.SZ,
167,000585.SZ,
168,000586.SZ,
169,000587.SZ,
170,000589.SZ,
171,000590.SZ,
172,000591.SZ,
173,000592.SZ,
174,000593.SZ,
175,000595.SZ,
176,000596.SZ,
177,000597.SZ,
178,000598.SZ,
179,000599.SZ,
180,000600.SZ,
181,000601.SZ,
182,000603.SZ,
183,000605.SZ,
184,000606.SZ,
185,000607.SZ,
186,000608.SZ,
187,000609.SZ,
188,000610.SZ,
189,000611.SZ,
190,000612.SZ,
191,000613.SZ,
192,000615.SZ,
193,000616.SZ,
194,000617.SZ,
195,000619.SZ,
196,000620.SZ,
197,000622.SZ,
198,000623.SZ,
199,000625.SZ,
200,000626.SZ,
201,000627.SZ,
202,000628.SZ,
203,000630.SZ,
204,000631.SZ,
205,000632.SZ,
206,000633.SZ,
207,000635.SZ,
208,000636.SZ,
209,000637.SZ,
210,000638.SZ,
211,000639.SZ,
212,000650.SZ,
213,000651.SZ,
214,000652.SZ,
215,000655.SZ,
216,000656.SZ,
217,000657.SZ,
218,000659.SZ,
219,000661.SZ,
220,000662.SZ,
221,000663.SZ,
222,000665.SZ,
223,000666.SZ,
224,000667.SZ,
225,000668.SZ,
226,000669.SZ,
227,000670.SZ,
228,000671.SZ,
229,000672.SZ,
230,000673.SZ,
231,000676.SZ,
232,000677.SZ,
233,000678.SZ,
234,000679.SZ,
235,000680.SZ,
236,000681.SZ,
237,000682.SZ,
238,000683.SZ,
239,000685.SZ,
240,000686.SZ,
241,000687.SZ,
242,000688.SZ,
243,000690.SZ,
244,000691.SZ,
245,000692.SZ,
246,000693.SZ,
247,000695.SZ,
248,000697.SZ,
249,000698.SZ,
250,000700.SZ,
251,000701.SZ,
252,000702.SZ,
253,000703.SZ,
254,000705.SZ,
255,000707.SZ,
256,000708.SZ,
257,000709.SZ,
258,000710.SZ,
259,000711.SZ,
260,000712.SZ,
261,000713.SZ,
262,000715.SZ,
263,000716.SZ,
264,000717.SZ,
265,000718.SZ,
266,000719.SZ,
267,000720.SZ,
268,000721.SZ,
269,000722.SZ,
270,000723.SZ,
271,000725.SZ,
272,000726.SZ,
273,000727.SZ,
274,000728.SZ,
275,000729.SZ,
276,000731.SZ,
277,000732.SZ,
278,000733.SZ,
279,000735.SZ,
280,000736.SZ,
281,000737.SZ,
282,000738.SZ,
283,000739.SZ,
284,000750.SZ,
