,wind_code,i_weight
1,600000.SH,3.397
2,600016.SH,4.468
3,600028.SH,1.551
4,600029.SH,0.713
5,600030.SH,3.045
6,600036.SH,5.443
7,600048.SH,1.623
8,600050.SH,1.491
9,600100.SH,0.591
10,600104.SH,2.481
11,600109.SH,0.596
12,600111.SH,0.562
13,600485.SH,0.502
14,600518.SH,1.489
15,600519.SH,5.238
16,600547.SH,0.499
17,600637.SH,0.663
18,600837.SH,2.914
19,600887.SH,2.771
20,600893.SH,0.451
21,600958.SH,1.017
22,600999.SH,0.915
23,601006.SH,1.197
24,601088.SH,0.998
25,601166.SH,4.855
26,601169.SH,2.56
27,601186.SH,1.306
28,601198.SH,0.441
29,601211.SH,2.074
30,601288.SH,3.185
31,601318.SH,11.491
32,601328.SH,4.009
33,601336.SH,1.042
34,601377.SH,0.82
35,601390.SH,1.563
36,601398.SH,2.665
37,601601.SH,2.245
38,601628.SH,1.101
39,601668.SH,3.336
40,601688.SH,1.351
41,601766.SH,2.32
42,601788.SH,0.711
43,601800.SH,0.562
44,601818.SH,1.495
45,601857.SH,0.894
46,601901.SH,0.873
47,601985.SH,0.848
48,601988.SH,1.85
49,601989.SH,1.342
50,601998.SH,0.446
